Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"Burnie (C)",4,0,8,0,10,4,80,67,8,0,3,0,13,15,13,25,30,8,29,17,10,1045,1388,
"Central Coast (M)",31,0,24,5,15,8,82,72,14,0,0,0,16,14,15,26,41,11,29,9,14,1159,1575,
"Central Highlands (M)",10,0,0,0,0,0,0,7,0,0,0,0,0,5,4,3,0,0,0,0,0,161,199,
"Circular Head (M)",30,0,19,0,5,0,21,26,6,0,0,0,7,5,0,6,9,0,20,9,3,349,513,
"Clarence (C)",8,0,51,0,26,14,235,184,23,9,0,0,32,42,16,69,77,35,42,21,18,2232,3131,
"Derwent Valley (M)",9,0,13,0,5,0,41,28,5,0,0,0,5,15,4,18,14,3,7,5,0,591,764,
"Devonport (C)",18,0,14,0,18,6,105,74,15,5,0,3,8,21,0,20,43,21,17,9,12,1462,1876,
"Dorset (M)",31,0,6,5,0,0,17,28,7,0,3,0,3,13,3,7,11,0,3,6,0,407,541,
"Flinders (M)",3,0,0,0,4,0,9,0,0,0,0,0,0,0,0,3,5,0,0,0,0,49,77,
"George Town (M)",0,0,9,0,5,0,19,13,8,0,0,4,6,6,0,3,12,3,6,8,0,468,570,
"Glamorgan/Spring Bay (M)",18,0,4,0,0,3,15,29,0,0,0,0,4,3,0,0,8,4,0,0,6,224,325,
"Glenorchy (C)",10,0,22,0,19,8,175,184,19,8,3,4,19,56,19,38,83,25,30,23,15,2466,3226,
"Hobart (C)",7,0,33,0,12,12,214,305,16,22,3,8,63,28,17,99,94,55,38,21,17,1956,3020,
"Huon Valley (M)",36,0,30,0,18,3,57,38,7,0,0,0,14,19,4,16,32,14,16,19,3,982,1302,
"Kentish (M)",17,0,4,0,3,0,13,26,6,0,0,0,4,11,4,9,15,9,7,4,5,392,534,
"King Island (M)",10,0,0,0,0,0,4,5,4,0,0,0,0,3,0,0,4,0,0,0,0,59,88,
"Kingborough (M)",19,0,27,0,17,9,165,144,15,9,0,5,32,26,15,68,69,23,42,17,6,1271,1997,
"Latrobe (M)",20,0,15,0,12,3,57,41,4,0,0,0,6,5,4,12,16,0,13,10,3,562,780,
"Launceston (C)",32,0,52,3,33,18,295,289,44,7,5,7,45,64,19,93,126,40,51,45,17,3735,5031,
"Meander Valley (M)",44,0,19,0,16,8,87,82,10,0,0,3,6,16,3,17,34,21,18,10,9,934,1342,
"Northern Midlands (M)",35,0,17,0,7,0,50,29,6,0,0,0,11,12,0,8,14,11,10,5,0,629,870,
"Sorell (M)",9,0,5,0,16,0,53,59,8,0,0,3,9,17,6,21,39,16,19,8,7,683,964,
"Southern Midlands (M)",15,0,5,0,5,0,33,20,0,0,0,0,12,14,3,7,8,4,3,4,5,322,461,
"Tasman (M)",8,0,4,0,5,0,6,17,0,0,0,5,6,0,0,4,5,3,0,0,0,168,226,
"Waratah/Wynyard (M)",24,4,8,0,13,5,53,40,9,0,0,4,11,16,6,17,20,10,12,6,7,738,1000,
"West Coast (M)",0,4,0,0,3,0,7,25,9,0,0,0,5,9,3,6,4,3,0,0,0,319,400,
"West Tamar (M)",22,0,23,0,20,10,91,91,13,6,6,6,18,15,11,44,37,15,29,17,16,1085,1576,
"No usual address (Tas.)",0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,5,3,0,0,0,136,156,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",503,12,439,18,303,127,2078,2006,254,75,46,68,361,495,163,663,877,330,469,284,179,25897,35654,


" $300-$399 ($15,600-$20,799)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
