"Taxation statistics 2015–16 Companies: Key items, by industry code, 2015-16 income year1",,,,,,,,,
,,,,,,,,,
Industry code,Business description,Number of companies,Total income no.,Total income $,Total expenses no.,Total expenses $,Taxable income or loss no.,Taxable income or loss $,
21320,Aluminium Smelting,24,20,"2,214,153,117",22,"2,094,681,468",18,"156,274,872",
21330,"Copper, Silver, Lead and Zinc Smelting and Refining",18,18,"1,774,671,755",17,"1,248,154,772",15,"102,985,474",
21390,Other Basic Non-Ferrous Metal Manufacturing,33,33,"1,649,437,560",31,"1,628,221,019",27,"22,329,207",
21410,Non-Ferrous Metal Casting,62,58,"243,792,469",61,"228,556,984",51,"17,897,485",
21420,"Aluminium Rolling, Drawing, Extruding",118,113,"2,793,956,586",112,"2,617,336,406",101,"191,460,773",
21490,Other Basic Non-Ferrous Metal Product Manufacturing,89,87,"198,437,457",89,"200,339,365",72,"7,003,106",
22100,Iron and Steel Forging,38,37,"48,921,389",38,"48,160,609",32,"-30,159",
22210,Structural Steel Fabricating,"1,088","1,041","2,983,521,038","1,060","2,840,729,847",867,"156,121,092",
22220,Prefabricated Metal Building Manufacturing,423,394,"757,733,085",412,"731,337,554",339,"28,328,046",
22230,Architectural Aluminium Product Manufacturing,752,731,"2,750,817,388",740,"2,586,748,552",602,"143,240,517",
22240,Metal Roof and Guttering Manufacturing (except Aluminium),70,65,"564,062,451",67,"544,059,044",59,"30,064,295",
22290,Other Structural Metal Product Manufacturing,513,492,"741,775,073",506,"699,912,291",411,"42,447,076",
22310,"Boiler, Tank and Other Heavy Gauge Metal Container Manufacturing",552,511,"784,616,929",536,"737,858,961",423,"25,548,847",
22390,Other Metal Container Manufacturing,80,76,"151,996,201",77,"140,671,496",63,"11,102,298",
22400,Sheet Metal Product Manufacturing (except Metal Structural and Container Products),732,705,"1,517,535,036",709,"1,416,865,286",582,"102,405,928",
22910,Spring and Wire Product Manufacturing,161,150,"1,034,532,331",157,"950,279,969",133,"96,823,835",
22920,"Nut, Bolt, Screw and Rivet Manufacturing",77,71,"283,625,509",75,"261,277,985",63,"24,851,522",
22930,Metal Coating and Finishing,936,890,"1,899,007,906",909,"1,795,337,335",736,"82,595,707",
22990,Other Fabricated Metal Product Manufacturing n.e.c.,"2,711","2,548","4,580,667,010","2,625","4,359,862,880","2,117","270,468,213",
23110,Motor Vehicle Manufacturing,229,205,"7,787,337,486",220,"7,857,255,020",183,"-236,106,935",
23120,Motor Vehicle Body and Trailer Manufacturing,736,689,"3,665,057,341",724,"3,511,047,778",593,"229,600,317",
23130,Automotive Electrical Component Manufacturing,205,191,"1,893,910,137",202,"1,802,997,684",169,"47,763,973",
23190,Other Motor Vehicle Parts Manufacturing,353,325,"2,738,984,870",342,"2,604,432,560",293,"205,895,968",
23910,Shipbuilding and Repair Services,133,125,"1,438,660,426",131,"1,379,838,933",109,"88,528,248",
23920,Boatbuilding and Repair Services,663,601,"747,966,062",637,"734,457,590",499,"10,874,695",
23930,Railway Rolling Stock Manufacturing and Repair Services,86,80,"2,090,472,499",83,"1,965,431,209",68,"161,056,386",
