,,,Employee income earners,Employee income earners - median age ,Total Employee income,Median Employee income,Mean Employee income,Employee income as main source of income,Own unincorporated business income earners,Own unincorporated business income earners - median age ,Total Own unincorporated business income,Median Own unincorporated business income,Mean Own unincorporated business income,Own unincorporated business income as main source of income ,Investment income earners,Investment income earners - median age,Total Investment income,Median Investment income,Mean Investment income,Investment income as main source of income,Superannuation and annuity income earners,Superannuation and annuity income earners - median age,Total Superannuation and annuity income,Median Superannuation and annuity income,Mean Superannuation and annuity income,Superannuation and annuity income as main source of income, Total income earners (excl. Government pensions),Total income earners (excl. Government pensions and allowances) - median age,Total income (excl. Government pensions),Median Total income (excl. Government pensions),Mean Total income (excl. Government pensions),Total income (excl. Government pensions and allowances) - P80/P20,Total income (excl. Government pensions and allowances) - P80/P50,Total income (excl. Government pensions and allowances) - P20/P50 ,Total income (excl. Government pensions and allowances) - P10/P50,Total income (excl. Government pensions and allowances) - Gini coefficient,Total income (excl. Government pensions and allowances) - Income share of top 1% of earners,Total income (excl. Government pensions and allowances) - Income share of top 5% of earners,Total income (excl. Government pensions and allowances) - Income share of top 10% of earners,Total income (excl. Government pensions and allowances) - Lowest Quartile,Total income (excl. Government pensions and allowances) - Second Quartile,Total income (excl. Government pensions and allowances) - Third Quartile,Total income (excl. Government pensions and allowances) - Highest Quartile,Gross Capital Gains - Persons,Gross Capital Gains - Amount ,Gross Capital Gains - Median,Gross Capital Gains - Mean,Age Pension - Centrelink,Age Pension - DVA,Service Pension - DVA,Income Support Supplement - DVA,Carer Payment,Disability Support Pension,Newstart Allowance,Parenting Payment - Single,Parenting Payment - Partnered,Youth Allowance (Full time students/apprentices),Youth Allowance (Other),Family Tax Benefit A,Family Tax Benefit B,Persons earning $1-$499 per week,Persons earning $500-$999 per week,Persons earning $1000-$1999 per week,Persons earning $2000-$2999 per week,Persons earning $3000 or more per week,Persons earning nil income,Persons with a negative income,Median equivalised total household income (weekly)
CODE,LABEL,YEAR,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,ratio,ratio,ratio, ratio,no.,%,%,%,%,%,%,%,no.,$m,$,$,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,%,%,%,$
10500,Bayside (A),2012,"65,367",37,"3,451,015,530","45,857","52,794",80.6,"10,363",45,"210,534,080","13,700","20,316",7.8,"52,239",42,"254,586,075",391,"4,873",10.2,"1,415",58,"34,171,902","16,014","24,150",0.9,"76,960",40,"3,937,626,964","42,957","51,165",4.42,1.78,0.4,0.2,0.431,6.2,18.1,28.9,23.6,26.4,27.2,22.8,"2,738",127.6,"2,561","46,597",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2013,"67,087",37,"3,672,331,242","47,780","54,740",80.5,"10,620",44,"226,019,543","14,709","21,282",7.9,"53,574",42,"270,785,868",380,"5,054",10.2,"1,495",58,"33,922,518","14,156","22,691",0.9,"78,583",40,"4,183,260,960","44,793","53,234",4.21,1.77,0.42,0.21,0.425,6,17.8,28.5,23.5,26.5,27.2,22.8,"3,193",82.9,"2,044","25,950",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2014,"69,664",37,"3,920,435,032","49,070","56,276",80.8,"10,963",44,"241,603,340","15,013","22,038",7.9,"55,634",42,"298,636,852",400,"5,368",10,"1,519",58,"38,872,345","14,336","25,591",0.9,"81,239",40,"4,472,318,919","45,985","55,051",4.2,1.78,0.42,0.21,0.428,6.3,18.3,29,23.5,26.3,27.1,23,"3,738",133.4,"2,915","35,685",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2015,"74,591",36,"4,306,715,461","50,093","57,738",80.6,"11,616",44,"262,096,590","15,127","22,563",7.9,"60,766",41,"314,551,536",323,"5,176",10.3,"1,462",58,"35,907,533","15,656","24,561",0.8,"86,552",39,"4,863,689,151","46,894","56,194",4.28,1.78,0.42,0.21,0.432,6.4,18.4,29.1,23.9,26.1,27,23,"3,984",194.6,"3,569","48,842",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10500,Bayside (A),2016,"76,639",36,"4,597,691,305","51,928","59,992",80.6,"12,758",43,"289,271,304","14,688","22,674",8,"64,618",40,"315,249,750",243,"4,879",10.1,"1,467",59,"37,934,726","15,792","25,859",0.8,"91,565",38,"5,265,232,156","47,809","57,503",4.42,1.8,0.41,0.2,0.437,6.4,18.4,29.3,23.9,26,26.8,23.4,"4,073",160.7,"2,426","39,443",-,-,-,-,-,-,-,-,-,-,-,-,-,25.2,23.3,23.5,5.1,2.3,11.3,0.6,928
10500,Bayside (A),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,124",-,-,-,"1,740","3,730","2,878",869,572,"1,214",239,"8,189","6,346",-,-,-,-,-,-,-,-
10550,Bega Valley (A),2011,"13,380",45,"503,607,861","32,723","37,639",65.1,"3,942",52,"61,120,511","7,954","15,505",11.5,"12,739",53,"95,931,233",653,"7,531",18.5,"1,100",60,"30,841,028","22,500","28,037",4,"17,597",50,"684,228,941","32,124","38,883",5.91,1.85,0.31,0.12,0.478,7.5,19.9,31.2,32.3,29.6,23.3,14.9,"1,129",26.2,"3,879","23,191","5,081",-,-,-,312,"1,855","1,011",574,-,402,139,-,-,-,-,-,-,-,-,-,572
10550,Bega Valley (A),2012,"13,746",44,"543,438,026","34,345","39,534",65.6,"3,920",53,"61,482,426","7,839","15,684",10.9,"13,301",53,"103,636,671",614,"7,792",18.5,"1,114",60,"31,518,081","23,508","28,293",4.1,"17,845",50,"728,254,207","33,355","40,810",5.62,1.87,0.33,0.13,0.482,7.8,20.4,31.6,32.5,29.9,23.2,14.5,"1,153",39.5,"3,750","34,278","5,244",13,399,196,323,"1,960","1,002",550,-,222,160,"2,719","2,034",-,-,-,-,-,-,-,-
10550,Bega Valley (A),2013,"13,896",45,"568,463,082","35,283","40,908",65.3,"3,866",53,"56,454,254","7,726","14,603",10.8,"13,272",54,"101,720,123",564,"7,664",18.6,"1,123",60,"32,421,479","23,937","28,870",4.2,"17,726",51,"747,515,491","34,514","42,171",5.4,1.85,0.34,0.13,0.481,7.9,20.3,31.5,33,29.8,23,14.2,"1,334",36.0,"2,581","26,953","5,548",9,376,176,371,"1,963","1,186",411,-,152,213,"2,635","2,052",-,-,-,-,-,-,-,-
10550,Bega Valley (A),2014,"14,187",45,"597,312,445","36,506","42,103",65.6,"3,867",54,"62,660,098","8,755","16,204",11.1,"13,453",54,"104,247,473",608,"7,749",18.3,"1,128",61,"35,490,773","25,873","31,463",4.3,"17,941",51,"779,669,361","35,737","43,457",5.35,1.84,0.34,0.13,0.476,7.5,20.2,31.3,32.8,29.7,23.2,14.2,"1,478",66.0,"5,106","44,667","5,684",7,337,169,391,"2,008","1,266",409,-,137,203,"2,600","2,016",-,-,-,-,-,-,-,-
10550,Bega Valley (A),2015,"14,689",45,"632,360,402","37,331","43,050",65,"3,936",54,"72,388,040","9,954","18,391",11.6,"14,075",54,"111,394,258",542,"7,914",18.2,"1,200",60,"36,738,714","26,092","30,616",4.4,"18,447",51,"821,594,671","36,358","44,538",5.39,1.86,0.35,0.13,0.475,7.3,20.1,31.3,33,29.5,22.9,14.6,"1,469",51.8,"4,786","35,238","5,964",4,329,159,427,"1,999","1,266",424,-,118,193,"2,541","2,027",-,-,-,-,-,-,-,-
10550,Bega Valley (A),2016,"14,801",45,"661,384,572","38,672","44,685",65,"3,922",54,"71,808,308","10,850","18,309",11.5,"14,058",54,"109,402,429",506,"7,782",18.2,"1,215",61,"40,562,789","26,838","33,385",4.5,"18,771",51,"855,809,880","37,270","45,592",5.45,1.87,0.34,0.13,0.478,7.2,20,31.3,32.3,29.7,23.3,14.7,"1,538",57.3,"4,584","37,232","6,086",4,302,147,421,"1,945","1,252",415,-,121,171,"2,475","1,928",36.5,27.2,16.8,2.2,1.1,5.5,0.4,656
10550,Bega Valley (A),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,986",4,275,133,424,"1,861","1,213",383,165,95,161,"2,381","1,772",-,-,-,-,-,-,-,-
10600,Bellingen (A),2011,"4,676",44,"173,005,119","31,200","36,999",62.5,"1,903",52,"21,519,008","7,026","11,308",15.1,"4,714",52,"26,811,822",588,"5,688",18.7,296,59,"7,441,306","21,626","25,140",2.8,"6,432",49,"227,371,986","28,659","35,350",6.93,1.99,0.29,0.08,0.506,6.6,19.5,31.6,36.1,29.8,20.6,13.5,419,10.1,"3,271","24,134","1,903",-,-,-,161,775,579,304,-,204,80,-,-,-,-,-,-,-,-,-,532
10600,Bellingen (A),2012,"4,784",45,"186,030,226","33,022","38,886",63.6,"1,887",52,"22,982,729","7,209","12,180",14.8,"4,720",53,"28,726,946",543,"6,086",18.1,286,59,"6,901,556","19,757","24,131",2.6,"6,434",50,"242,739,279","30,259","37,728",6.91,1.98,0.29,0.09,0.503,6.6,19.6,31.6,36.4,28.6,21.1,13.9,414,10.1,"2,372","24,418","1,967",11,158,55,170,760,577,274,-,143,78,"1,278","1,037",-,-,-,-,-,-,-,-
10600,Bellingen (A),2013,"4,849",45,"198,799,180","34,358","40,998",63.8,"1,884",53,"19,310,470","6,051","10,250",14.1,"4,694",53,"29,181,167",515,"6,217",18,293,59,"7,814,683","21,488","26,671",2.6,"6,380",50,"251,595,887","32,008","39,435",6.56,2,0.3,0.09,0.501,6.3,19.2,31.1,36.1,29.1,20.4,14.4,404,9.9,"2,272","24,593","2,016",12,150,52,177,722,653,209,-,84,105,"1,288","1,068",-,-,-,-,-,-,-,-
10600,Bellingen (A),2014,"5,089",45,"217,299,561","35,747","42,700",65.4,"1,833",54,"20,398,263","5,960","11,128",13.6,"4,712",54,"29,382,091",576,"6,236",17.5,282,59,"7,377,848","21,791","26,163",2.6,"6,575",50,"269,297,809","32,939","40,958",6.43,1.97,0.31,0.1,0.498,6.3,19.4,31.4,35.9,28.9,20.9,14.4,473,14.7,"2,603","30,982","2,009",6,145,46,183,740,655,208,-,54,87,"1,266","1,043",-,-,-,-,-,-,-,-
10600,Bellingen (A),2015,"5,240",45,"229,799,012","36,667","43,855",64,"1,864",54,"26,180,856","7,054","14,046",14.9,"4,856",54,"30,403,407",527,"6,261",17.4,289,59,"7,409,669","20,156","25,639",2.6,"6,639",51,"282,126,681","34,248","42,495",6.35,1.97,0.31,0.1,0.497,6.7,19.8,31.6,35.8,28.4,21.1,14.7,483,11.8,"3,454","24,374","2,087",7,141,51,187,694,662,214,-,60,81,"1,231","1,012",-,-,-,-,-,-,-,-
10600,Bellingen (A),2016,"5,348",45,"244,374,063","38,420","45,694",64.7,"1,865",54,"29,562,325","7,539","15,851",14.9,"4,950",54,"32,293,003",476,"6,524",17,276,59,"8,840,850","23,200","32,032",2.6,"6,774",51,"304,001,252","35,835","44,878",6.11,1.97,0.32,0.1,0.492,7.4,20.1,31.8,33.6,29.4,22,15.1,475,14.0,"2,608","29,520","2,125",7,130,47,185,669,662,192,-,57,77,"1,178",965,37.2,27.1,15.8,2.4,1.1,6.6,0.5,638
10600,Bellingen (A),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,072",4,108,44,176,643,667,191,87,47,75,"1,121",883,-,-,-,-,-,-,-,-
10650,Berrigan (A),2011,"3,379",43,"126,151,601","32,961","37,334",65.3,"1,212",52,"19,269,134","6,020","15,899",12.3,"3,155",53,"24,042,893",852,"7,621",20,169,58,"3,157,419","9,898","18,683",1.6,"4,488",49,"169,868,618","31,370","37,850",6.73,1.95,0.29,0.09,0.5,6.6,19.8,31.4,34.2,28.3,22.4,15,407,11.1,"2,145","27,326","1,501",-,-,-,87,361,198,132,-,85,32,-,-,-,-,-,-,-,-,-,543
10650,Berrigan (A),2012,"3,474",43,"133,551,174","33,755","38,443",65.3,"1,185",53,"15,263,051","5,590","12,880",11.7,"3,250",54,"28,321,905",776,"8,714",20.6,178,58,"3,834,382","10,206","21,541",1.6,"4,535",49,"177,955,357","32,456","39,240",6.47,1.9,0.29,0.09,0.527,7.6,20.6,32.3,34.6,27.9,22.9,14.5,294,8.2,"2,229","27,948","1,535",-,144,61,83,351,223,134,-,48,28,668,502,-,-,-,-,-,-,-,-
10650,Berrigan (A),2013,"3,491",43,"138,061,194","34,576","39,548",65.2,"1,195",53,"20,648,726","8,276","17,279",12.9,"3,233",53,"27,579,476",825,"8,531",19.4,141,59,"2,260,267","10,423","16,030",1.3,"4,490",49,"185,451,340","34,409","41,303",5.94,1.91,0.32,0.1,0.494,6.6,19.4,30.9,33.8,28.8,22.3,15.1,355,6.4,"1,684","17,942","1,560",-,132,62,92,363,256,114,-,29,39,652,499,-,-,-,-,-,-,-,-
10650,Berrigan (A),2014,"3,589",43,"147,102,359","36,399","40,987",65.9,"1,216",53,"26,485,433","10,626","21,781",13.5,"3,278",53,"26,405,531",755,"8,055",18.4,151,59,"2,606,751","11,139","17,263",1.5,"4,556",49,"199,057,739","36,964","43,691",5.3,1.85,0.35,0.12,0.482,6.8,19.3,30.5,32.7,27.8,24.2,15.3,353,8.9,"3,516","25,123","1,618",-,94,50,106,367,246,114,-,29,41,637,491,-,-,-,-,-,-,-,-
10650,Berrigan (A),2015,"3,647",43,"152,841,675","37,235","41,909",64.7,"1,230",53,"36,998,907","15,404","30,080",15.3,"3,391",53,"29,268,352",640,"8,631",18.2,124,59,"2,239,199","10,829","18,058",1.3,"4,590",49,"214,503,319","38,633","46,733",5.48,1.86,0.34,0.12,0.486,7,20.3,31.5,31.6,28,23.6,16.9,364,15.9,"4,763","43,787","1,652",-,98,48,-,354,297,-,-,-,-,622,482,-,-,-,-,-,-,-,-
10650,Berrigan (A),2016,"3,514",42,"156,532,290","39,500","44,545",67.7,"1,011",53,"23,958,450","12,843","23,698",12.6,"3,134",53,"26,949,014",468,"8,599",17.5,136,58,"3,424,578","12,361","25,181",1.7,"4,286",48,"202,222,024","38,513","47,182",5.37,1.89,0.35,0.14,0.476,6.9,19.5,30.6,30.3,29.4,23.8,16.5,346,10.9,"2,346","31,446","1,687",-,98,46,116,331,279,102,-,-,-,610,457,35.9,26,15.7,2.1,1.3,5.4,0.7,645
10650,Berrigan (A),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,676",-,90,40,103,311,276,101,18,21,30,556,407,-,-,-,-,-,-,-,-
10750,Blacktown (C),2011,"144,421",37,"6,945,288,711","44,785","48,091",88,"15,389",42,"262,244,812","10,928","17,041",5.7,"82,086",42,"102,661,486",167,"1,251",5.2,"2,588",57,"48,261,915","10,000","18,648",0.8,"150,773",39,"7,190,258,025","43,716","47,689",3.99,1.64,0.41,0.2,0.389,4.5,15,25.2,21.1,25,31.4,22.5,"4,128",81.3,"2,254","19,692","21,811",-,-,-,"3,808","10,857","8,773","6,534",-,"5,060","1,511",-,-,-,-,-,-,-,-,-,752
10750,Blacktown (C),2012,"148,782",37,"7,431,681,192","46,443","49,950",88,"15,700",42,"274,036,161","11,547","17,455",5.7,"87,657",42,"122,839,001",164,"1,401",5.2,"2,531",57,"52,689,745","11,507","20,818",0.7,"153,738",39,"7,674,591,959","45,630","49,920",3.83,1.63,0.43,0.21,0.384,4.5,14.9,25,21,25.5,31.7,21.8,"3,562",68.8,"2,028","19,308","22,607",15,947,420,"4,359","11,225","8,999","6,375",-,"4,180","1,423","30,304","25,666",-,-,-,-,-,-,-,-
10750,Blacktown (C),2013,"154,158",37,"7,953,888,614","47,728","51,596",87.6,"16,220",42,"283,527,327","11,640","17,480",5.8,"90,747",42,"144,685,477",164,"1,594",5.3,"2,722",57,"56,754,131","10,330","20,850",0.8,"157,330",39,"8,176,726,046","47,309","51,972",3.73,1.64,0.44,0.22,0.382,4.5,14.9,25,21,25.8,31.6,21.6,"4,369",76.6,"1,554","17,531","23,655",16,883,410,"4,734","11,177","10,544","5,131",-,"3,802","1,814","29,917","25,966",-,-,-,-,-,-,-,-
10750,Blacktown (C),2014,"159,785",37,"8,452,947,470","48,767","52,902",87.6,"16,917",42,"316,918,212","12,520","18,734",6,"94,983",42,"165,939,180",153,"1,747",5.3,"2,799",57,"58,181,883","10,312","20,787",0.7,"162,615",39,"8,651,546,317","48,236","53,203",3.79,1.64,0.43,0.22,0.385,4.7,15.2,25.3,21.3,25.7,31.3,21.6,"4,944",125.0,"3,038","25,279","24,444",13,834,374,"5,177","11,316","10,903","5,197",-,"3,669","1,747","29,994","26,169",-,-,-,-,-,-,-,-
10750,Blacktown (C),2015,"170,360",37,"9,241,911,618","49,863","54,249",87,"18,096",42,"350,485,053","13,351","19,368",6.2,"103,921",41,"164,617,249",130,"1,584",5.7,"2,943",57,"65,190,432","11,297","22,151",0.8,"170,908",39,"9,284,747,312","49,080","54,326",3.86,1.65,0.43,0.21,0.389,4.6,15.3,25.5,21.6,25.8,30.9,21.7,"5,372",189.8,"3,964","35,334","25,313",11,763,347,"5,297","10,938","10,980","5,143",-,"3,483","1,656","29,586","25,810",-,-,-,-,-,-,-,-
10750,Blacktown (C),2016,"177,584",37,"10,016,926,415","51,696","56,407",87,"19,666",41,"383,402,581","12,925","19,496",6.3,"111,292",40,"150,441,144",101,"1,352",5.7,"2,908",57,"66,415,159","11,897","22,839",0.7,"179,359",38,"10,069,036,663","50,647","56,139",3.93,1.66,0.42,0.21,0.391,4.7,15.2,25.5,21.2,25.5,30.7,22.7,"5,428",230.2,"2,885","42,401","26,058",11,729,302,"5,312","10,380","10,172","4,934",-,"3,296","1,356","28,864","23,935",25.9,24,24.4,4.3,1.3,12,0.6,895
10750,Blacktown (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"26,088",13,692,282,"5,361","10,015","9,954","4,661","1,710","2,989","1,328","27,958","22,037",-,-,-,-,-,-,-,-
10800,Bland (A),2011,"2,298",40,"88,513,579","31,603","38,518",61.9,"1,211",52,"53,166,164","22,433","43,903",25.3,"2,098",50,"11,089,200",681,"5,286",11.9,59,58,"985,690","10,000","16,707",0.6,"3,082",46,"152,594,666","36,957","49,512",5.99,2.06,0.34,0.13,0.503,7.2,22.1,33.7,27.6,26.5,21.9,24,331,5.7,"1,066","17,152",761,-,-,-,41,258,110,85,-,48,-,-,-,-,-,-,-,-,-,-,579
10800,Bland (A),2012,"2,362",40,"99,247,225","33,815","42,018",62.5,"1,211",52,"30,116,431","13,341","24,869",22,"2,255",50,"13,399,585",604,"5,942",14.3,52,58,"977,968","10,258","18,807",0.5,"3,156",47,"141,049,914","35,516","44,693",6.56,2.1,0.32,0.1,0.534,6.5,20.2,32.4,30.9,27.3,20.7,21.1,160,2.8,"1,506","17,708",770,-,26,30,47,262,109,85,-,32,-,504,389,-,-,-,-,-,-,-,-
10800,Bland (A),2013,"2,444",40,"104,176,047","34,447","42,625",63.4,"1,199",53,"31,846,256","14,104","26,561",21.4,"2,272",51,"12,530,610",554,"5,515",13.6,61,58,"1,450,597","10,756","23,780",0.8,"3,189",47,"146,359,764","35,746","45,895",6.35,2.1,0.33,0.1,0.526,6.9,20.4,32.8,32.7,27,20.3,20.1,235,10.8,"1,729","45,869",787,-,22,31,61,266,121,70,-,-,-,468,381,-,-,-,-,-,-,-,-
10800,Bland (A),2014,"2,421",41,"105,988,073","34,792","43,779",62.8,"1,220",53,"45,138,242","19,160","36,999",23.6,"2,274",52,"15,240,578",576,"6,702",12.3,66,58,"1,582,594","9,933","23,979",0.9,"3,147",48,"164,557,980","38,576","52,290",5.71,2.15,0.38,0.14,0.517,8.7,22.6,34.6,30.5,27.9,19.7,21.8,210,3.8,"1,754","18,058",793,-,18,30,64,272,157,71,-,-,26,433,361,-,-,-,-,-,-,-,-
10800,Bland (A),2015,"2,466",41,"111,233,962","36,203","45,107",61.7,"1,237",53,"40,091,065","19,361","32,410",24.7,"2,348",51,"16,681,463",543,"7,105",12.3,68,57,"1,422,443","9,568","20,918",1,"3,132",48,"161,811,630","39,540","51,664",5.39,2.01,0.37,0.13,0.503,7.9,21.6,33.4,28.6,28.9,22.4,20.1,198,7.4,"2,722","37,567",823,-,18,30,68,253,168,71,-,-,29,420,337,-,-,-,-,-,-,-,-
10800,Bland (A),2016,"2,339",41,"109,057,227","37,929","46,626",63.4,"1,139",53,"37,603,811","18,573","33,015",23.5,"2,208",51,"15,959,720",470,"7,228",12.2,53,59,"919,512","10,018","17,349",0.8,"3,006",48,"156,958,044","40,728","52,215",5.41,1.98,0.37,0.14,0.495,7.3,20.5,32.3,29.1,28.1,22.6,20.2,200,11.1,"1,697","55,501",807,-,14,27,73,238,139,75,-,9,24,393,302,30.2,24.3,17.7,3.3,2.3,6.4,0.8,715
10800,Bland (A),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,774,-,12,24,65,229,144,55,19,13,23,360,264,-,-,-,-,-,-,-,-
10850,Blayney (A),2011,"3,021",42,"143,892,634","40,742","47,631",73.8,"1,040",53,"12,622,192","5,825","12,137",12.8,"2,486",48,"13,867,945",316,"5,578",11.5,113,57,"2,101,409","9,818","18,597",1.3,"3,652",45,"170,496,082","38,795","46,686",5.6,1.94,0.35,0.12,0.477,6.8,18.5,29.9,26.6,25.7,24,23.7,267,7.3,"1,950","27,253",863,-,-,-,60,315,126,115,-,54,31,-,-,-,-,-,-,-,-,-,687
10850,Blayney (A),2012,"3,147",41,"158,099,824","41,711","50,238",74.6,"1,015",54,"12,359,154","6,253","12,177",11.5,"2,593",48,"16,235,192",342,"6,261",11.9,98,58,"2,076,082","16,231","21,185",1.4,"3,698",46,"185,477,580","40,934","50,156",5.5,1.95,0.35,0.13,0.477,6.9,19.2,30.5,26.8,25.4,24,23.9,192,5.9,"2,990","30,571",831,-,58,29,66,278,133,100,-,33,-,535,447,-,-,-,-,-,-,-,-
10850,Blayney (A),2013,"3,175",42,"162,483,158","42,860","51,176",75,"1,003",53,"7,212,269","2,808","7,191",10.9,"2,527",49,"15,546,996",313,"6,152",11.8,98,58,"2,683,260","16,616","27,380",1.4,"3,636",46,"183,516,373","41,031","50,472",5.09,1.93,0.38,0.13,0.48,7.3,19.3,30.5,27.8,26.6,23.6,22,230,7.1,"2,540","30,750",836,-,58,27,74,289,182,98,-,-,33,548,469,-,-,-,-,-,-,-,-
10850,Blayney (A),2014,"3,249",42,"167,203,969","43,597","51,463",74.4,"1,046",53,"8,924,568","3,391","8,532",11.2,"2,566",50,"17,906,166",359,"6,978",12.1,106,57,"2,435,696","13,865","22,978",1.6,"3,769",46,"189,379,183","41,780","50,247",5.61,1.92,0.34,0.13,0.482,6.9,18.9,30.2,27.8,26.7,23.5,22,260,7.9,"3,199","30,409",840,-,53,23,87,290,233,110,-,30,35,558,463,-,-,-,-,-,-,-,-
10850,Blayney (A),2015,"3,379",42,"178,713,094","44,611","52,889",73.9,"1,058",54,"16,379,878","5,367","15,482",12.4,"2,598",50,"19,296,026",324,"7,427",11.9,106,57,"2,662,813","14,669","25,121",1.5,"3,796",46,"207,148,447","44,143","54,570",4.97,1.91,0.38,0.16,0.469,7.5,19.6,30.6,25.8,27.3,23.5,23.4,272,9.4,"3,811","34,673",893,-,58,21,84,284,222,110,-,29,37,519,441,-,-,-,-,-,-,-,-
10850,Blayney (A),2016,"3,307",42,"180,799,362","46,806","54,672",74.8,"1,018",53,"14,386,603","4,244","14,132",11.8,"2,560",49,"17,680,468",207,"6,906",11.5,89,58,"2,108,912","16,235","23,696",1.4,"3,694",46,"203,684,435","45,397","55,139",5.21,1.91,0.37,0.14,0.471,7.5,19.7,30.8,26.3,26.8,24,23,248,8.0,"1,971","32,417",892,-,56,17,78,270,223,108,-,27,38,497,386,31.4,24.3,20.9,4.2,1.8,6.8,0.7,768
10850,Blayney (A),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,875,-,49,14,78,253,219,91,20,21,29,475,351,-,-,-,-,-,-,-,-
10900,Blue Mountains (C),2011,"36,364",43,"1,881,340,513","44,049","51,736",75.9,"6,644",49,"133,909,590","8,998","20,155",8.1,"30,235",50,"149,421,151",334,"4,942",12.9,"1,916",59,"45,098,420","17,230","23,538",2.3,"42,632",46,"2,169,459,216","41,204","50,888",5.87,1.95,0.33,0.14,0.463,6.6,18.8,29.8,26,23.5,22.6,27.8,"2,488",65.1,"2,482","26,173","8,408",-,-,-,483,"2,516","1,805","1,111",-,978,249,-,-,-,-,-,-,-,-,-,789
10900,Blue Mountains (C),2012,"36,731",43,"1,985,318,812","45,916","54,050",75.8,"6,787",49,"139,644,410","9,602","20,575",8.3,"31,035",50,"164,383,812",324,"5,297",13.1,"1,922",59,"49,705,562","18,365","25,861",2.2,"42,648",47,"2,288,597,765","43,302","53,662",5.54,1.94,0.35,0.15,0.459,6.8,19,29.9,25.9,23.8,23.1,27.2,"2,219",78.9,"1,890","35,535","8,762",13,543,256,503,"2,485","1,829","1,071",-,770,221,"5,322","4,644",-,-,-,-,-,-,-,-
10900,Blue Mountains (C),2013,"37,131",43,"2,057,760,579","47,138","55,419",75.7,"6,700",49,"141,392,105","9,800","21,103",8.2,"31,106",50,"171,449,066",334,"5,512",13,"1,863",59,"48,629,294","18,435","26,103",2.2,"42,468",47,"2,351,707,018","44,920","55,376",5.37,1.93,0.36,0.15,0.456,6.5,18.8,29.7,26.3,23.6,23.2,26.9,"2,366",42.0,"1,637","17,733","9,152",10,501,237,533,"2,606","2,155",814,-,662,322,"5,093","4,544",-,-,-,-,-,-,-,-
10900,Blue Mountains (C),2014,"37,906",43,"2,150,952,755","48,125","56,744",75.6,"6,803",49,"151,896,004","10,853","22,328",8.3,"31,681",50,"184,910,221",384,"5,837",13.1,"1,768",59,"49,014,166","19,988","27,723",2.1,"43,163",47,"2,447,762,821","45,821","56,710",5.39,1.94,0.36,0.15,0.457,6.5,18.8,29.8,26.4,23.6,23.3,26.7,"2,775",79.2,"3,334","28,545","9,433",7,451,225,610,"2,728","2,163",762,-,684,308,"4,899","4,392",-,-,-,-,-,-,-,-
10900,Blue Mountains (C),2015,"39,508",44,"2,292,312,288","49,242","58,021",75.1,"7,106",49,"163,542,423","10,649","23,015",8.5,"32,807",50,"189,978,995",355,"5,791",13.5,"1,787",59,"53,500,841","20,888","29,939",2.2,"44,301",47,"2,557,820,269","46,563","57,737",5.49,1.95,0.36,0.15,0.458,6.4,18.7,29.8,26.5,23.8,23,26.7,"3,064",92.7,"4,342","30,254","9,890",6,422,209,626,"2,665","2,126",731,-,624,269,"4,647","4,188",-,-,-,-,-,-,-,-
