Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"Tamworth Regional (A)",262,2826,1798,3305,4804,4626,4095,4397,4714,4102,2316,1795,1267,1572,654,5020,12113,59662,
"Temora (A)",16,314,166,357,629,606,493,457,437,352,180,160,131,113,67,461,1183,6110,
"Tenterfield (A)",48,294,252,599,806,714,463,453,379,291,156,107,76,99,41,805,1036,6624,
"The Hills Shire (A)",478,14626,6171,6980,7135,6771,7750,7735,8806,10488,8157,7833,5991,11171,7574,5962,33622,157243,
"Tweed (A)",300,4582,3045,5825,9280,9010,7571,6417,6168,5596,3184,2493,1670,1856,1025,8034,15321,91374,
"Upper Hunter Shire (A)",63,765,427,755,1071,1097,867,938,942,818,464,412,311,665,271,1339,2911,14112,
"Upper Lachlan Shire (A)",46,394,219,483,613,623,571,514,524,501,296,280,172,232,124,739,1350,7694,
"Uralla (A)",35,281,199,422,602,516,466,419,431,363,205,185,127,129,53,461,1160,6049,
"Wagga Wagga (C)",188,3200,2056,3407,4020,4167,4321,4550,4980,4625,3087,2325,1735,1938,902,4190,12697,62383,
"Walcha (A)",29,125,112,192,263,238,240,207,196,194,106,89,59,63,49,384,531,3090,
"Walgett (A)",74,253,163,575,621,576,384,336,307,289,156,117,90,102,67,775,1224,6112,
"Warren (A)",8,121,66,165,210,195,160,175,200,191,117,82,67,57,46,304,583,2730,
"Warrumbungle Shire (A)",68,506,287,708,979,885,683,595,524,441,217,184,144,174,102,1191,1684,9380,
"Waverley (A)",225,3580,1432,1869,2340,2663,2655,3053,3799,4590,3807,3753,2793,5656,6570,7297,10705,66813,
"Weddin (A)",13,168,108,239,451,390,262,241,245,221,109,91,55,56,45,358,613,3660,
"Wentworth (A)",44,313,215,473,617,525,470,430,451,391,232,175,158,129,97,789,1279,6798,
