"Australian Exporters: by Export Value Range, Industry, State, and Destination Country",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Goods and Services Credit ($m),404125,"per 5368.0 Table 1 'Credits, Total goods and services' for FY 2018",,,,,,
,DATA SOURCE,5368.0.55.006 Tables 6 & 7,,5368.0.55.006 Table 1.1,,,5368.0.55.006 Table 5.1,,,,,,,,,,"5368.0.55.006 Table 5.2, and 5368.0 Table 1",,,,,,,,
,,,,Number of Goods Exporters,,,Industry of exporter,,,,,,,,,,Value of Goods and Services Exports in FY 2018 by Industry of exporter (ratio per cell multiplied by Total Goods and Services),,,,,,,,
Destination Country,Value Range,State,Size,Total,,,"Agriculture, forestry and fishing",Mining,Manufacturing,Construction,Wholesale Trade,Retail Trade,"Transport, postal and warehousing",Other (c),TOTAL,,"Agriculture, forestry and fishing",Mining,Manufacturing,Construction,Wholesale Trade,Retail Trade,"Transport, postal and warehousing",Other (c),TOTAL
,,,,no.,%,,no.,no.,no.,no.,no.,no.,no.,no.,no.,,$,$,$,$,$,$,$,$,$
AUSTRIA,"$10,000 and less than $55,000",SA,Small,4,1%,,0,0,1,0,1,0,0,1,3,,0,0,2551,0,7795,0,0,2123,12468
AUSTRIA,"Less than $10,000",SA,Small,7,2%,,1,0,2,0,2,1,0,2,8,,1218,0,4410,0,13478,1221,0,3671,23997
AUSTRIA,$100m or more,WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$50m and less than $100m,WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$10m and less than $50m,WA,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,$1m and less than $10m,WA,Large,3,1%,,0,1,1,0,1,0,0,1,4,,0,7273373,2172361,0,618819,0,0,29358,10093911
AUSTRIA,"$875,000 and less than $1m",WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,"$750,000 and less than $875,000",WA,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,"$500,000 and less than $750,000",WA,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
AUSTRIA,"$250,000 and less than $500,000",WA,Medium,3,1%,,0,0,1,0,1,0,0,1,3,,0,0,6530,0,5279,0,0,911,12720
AUSTRIA,"$100,000 and less than $250,000",WA,Medium,4,1%,,0,0,1,0,1,1,0,1,4,,0,0,11230,0,9078,380,0,1567,22255
AUSTRIA,"$55,000 and less than $100,000",WA,Medium,7,2%,,0,0,2,1,2,1,0,2,8,,0,0,18914,646,15290,640,0,2639,38129
AUSTRIA,"$10,000 and less than $55,000",WA,Small,7,2%,,0,0,1,1,2,1,0,2,7,,0,0,1231,90,1411,90,0,312,3133
